subject,acc,stderr
_average,0.6393,0.0455
abstract_algebra,0.3800,0.0488
anatomy,0.5800,0.0496
astronomy,0.6600,0.0476
business_ethics,0.7300,0.0446
clinical_knowledge,0.6600,0.0476
college_biology,0.6900,0.0465
college_chemistry,0.4300,0.0498
college_computer_science,0.5000,0.0503
college_mathematics,0.3300,0.0473
college_medicine,0.7000,0.0461
college_physics,0.4700,0.0502
computer_security,0.7200,0.0451
conceptual_physics,0.5500,0.0500
econometrics,0.5200,0.0502
electrical_engineering,0.5800,0.0496
elementary_mathematics,0.4700,0.0502
formal_logic,0.4400,0.0499
global_facts,0.4300,0.0498
high_school_biology,0.7500,0.0435
high_school_chemistry,0.5800,0.0496
high_school_computer_science,0.6900,0.0465
high_school_european_history,0.7600,0.0429
high_school_geography,0.7100,0.0456
high_school_government_and_politics,0.8100,0.0394
high_school_macroeconomics,0.5800,0.0496
high_school_mathematics,0.3100,0.0465
high_school_microeconomics,0.8200,0.0386
high_school_physics,0.4200,0.0496
high_school_psychology,0.8100,0.0394
high_school_statistics,0.5500,0.0500
high_school_us_history,0.7800,0.0416
high_school_world_history,0.8200,0.0386
human_aging,0.6600,0.0476
human_sexuality,0.7500,0.0435
international_law,0.7500,0.0435
jurisprudence,0.7600,0.0429
logical_fallacies,0.8500,0.0359
machine_learning,0.4600,0.0501
management,0.7600,0.0429
marketing,0.9000,0.0302
medical_genetics,0.7200,0.0451
miscellaneous,0.8400,0.0368
moral_disputes,0.6100,0.0490
moral_scenarios,0.3600,0.0482
nutrition,0.7400,0.0441
philosophy,0.6500,0.0479
prehistory,0.7500,0.0435
professional_accounting,0.4800,0.0502
professional_law,0.4300,0.0498
professional_medicine,0.6600,0.0476
professional_psychology,0.7200,0.0451
public_relations,0.6900,0.0465
security_studies,0.6900,0.0465
sociology,0.8600,0.0349
us_foreign_policy,0.8100,0.0394
virology,0.4900,0.0502
world_religions,0.8200,0.0386
